Most Populous City,Most Populous City Population
"Shanghai	","22,315,474"
Mumbai,"12,691,836"
New York City,"8,175,133"
Jakarta,"8,540,121"
Karachi,"11,624,219"
Sao Paulo,"10,021,295"
Lagos,"9,000,000"
Dhaka,"10,356,500"
Moscow,"10,381,222"
Mexico City,"12,294,193"
Tokyo,"8,336,599"
Addis Ababa,"2,757,729"
Quezon City,"2,761,720"
Cairo,"7,734,614"
Ho Chi Minh City,"3,467,331"
Kinshasa,"7,785,965"
Istanbul,"14,804,116"
Tehran,"7,153,309"
Berlin,"3,426,354"
Bangkok,"5,104,476"
London,"7,556,900"
Paris,"2,138,551"
Rome,"2,318,895"
Dar es Salaam,"2,698,652"
Cape Town,"3,433,441"
Yangon,"4,477,638"
Nairobi,"2,750,547"
Seoul,"10,349,312"
Bogota,"7,674,366"
Madrid,"3,255,944"
Kampala,"1,353,189"
Buenos Aires,"13,076,300"
Algiers,"1,977,663"
Khartoum,"1,974,647"
Kyiv,"2,797,553"
Baghdad,"7,216,000"
Kabul,"3,043,532"
Warsaw,"1,702,139"
Toronto,"2,600,000"
Casablanca,"3,144,909"
Riyadh,"4,205,961"
Tashkent,"1,978,028"
Lima,"7,737,002"
Luanda,"2,776,168"
Kota Bharu,"1,459,994"
Maputo,"1,191,613"
Accra,"1,963,264"
Sanaa,"1,937,451"
Kathmandu,"1,442,271"
Caracas,"3,000,000"
Antananarivo,"1,391,433"
Douala,"1,338,082"
Abidjan,"3,677,115"
Pyongyang,"3,222,000"
Sydney,"4,627,345"
Niamey,"774,235"
Taipei,"7,871,900"
Colombo,"648,034"
Ouagadougou,"1,086,505"
Bamako,"1,297,281"
Bucharest,"1,877,155"
Lilongwe,"646,750"
Santiago,"4,837,295"
Almaty,"2,000,900"
Lusaka,"1,267,440"
Guatemala City,"994,938"
Guayaquil,"1,952,029"
Aleppo,"1,602,264"
Amsterdam,"741,636"
Dakar,"2,476,400"
Phnom Penh,"1,573,544"
N'Djamena,"721,081"
Mogadishu,"2,587,183"
Harare,"1,542,813"
Camayenne,"1,871,242"
Kigali,"745,261"
Cotonou,"780,000"
Bujumbura,"331,700"
Tunis,"693,210"
Santa Cruz de la Sierra,"1,364,389"
Brussels,"1,019,022"
Port-au-Prince,"1,234,742"
Havana,"2,163,824"
Juba,"450,000"
Santo Domingo,"2,201,941"
Prague,"1,165,581"
Athens,"664,046"
Amman,"1,275,857"
Lisbon,"517,802"
Baku,"1,116,513"
Stockholm,"1,515,017"
Tegucigalpa,"850,848"
Dubai,"1,137,347"
Budapest,"1,741,041"
Dushanbe,"679,400"
Minsk,"1,742,124"
Vienna,"1,691,468"
Port Moresby,"283,733"
Belgrade,"1,273,651"
Jerusalem,"801,000"
Zurich,"341,730"
Lome,"749,700"
Freetown,"802,639"
Hong Kong,"7,012,738"
Vientiane,"196,731"
Asuncion,"1,482,200"
Sofia,"1,152,556"
Tripoli,"1,150,989"
Beirut,"1,916,100"
Managua,"973,087"
Bishkek,"900,000"
San Salvador,"525,990"
Ashgabat,"727,700"
Singapore,"3,547,809"
Copenhagen,"1,153,615"
Helsinki,"558,457"
Brazzaville,"1,284,609"
Bratislava,"423,737"
Oslo,"580,000"
Muscat,"797,000"
East Jerusalem,"428,304"
San Jose,"335,007"
Monrovia,"939,524"
Dublin,"1,024,027"
Bangui,"542,393"
Auckland,"417,910"
Nouakchott,"661,400"
Panama,"408,168"
Al Ahmadi,"637,411"
Zagreb,"698,966"
Chisinau,"635,994"
Tbilisi,"1,049,498"
Asmara,"563,930"
Montevideo,"1,270,737"
Sarajevo,"696,731"
Ulan Bator,"844,818"
Yerevan,"1,093,485"
Kingston,"937,700"
Doha,"344,939"
Tirana,"374,801"
San Juan,"418,140"
Vilnius,"542,366"
Windhoek,"268,132"
Serekunda,"340,000"
Gaborone,"208,411"
Libreville,"578,156"
Maseru,"118,355"
Skopje,"474,889"
Ljubljana,"272,220"
Bissau,"388,028"
Riga,"742,572"
Manama,"147,074"
Bata,"173,046"
Chaguanas,"67,433"
Tallinn,"394,024"
Dili,"150,000"
Port Louis,"155,226"
Nicosia,"200,452"
Manzini,"110,537"
Djibouti,"623,891"
Suva,"77,366"
Saint-Denis,"137,195"
Moroni,"42,872"
Georgetown,"235,017"
Thimphu,"98,676"
Honiara,"56,298"
Macau,"520,400"
Podgorica,"136,473"
Luxembourg,"76,684"
Laayoune,"196,331"
Paramaribo,"223,757"
Praia,"113,364"
,
Male,"103,693"
Birkirkara,"21,676"
Bandar Seri Begawan,"64,409"
Les Abymes,"63,058"
Belize City,"61,461"
Nassau,"227,940"
Fort-de-France,"89,995"
Reykjavik,"118,918"
Port-Vila,"35,901"
Cayenne,"61,550"
Bridgetown,"98,511"
Noumea,"93,060"
Faaa,"29,851"
Mamoudzou,"54,831"
Sao Tome,"53,300"
Apia,"40,407"
Castries,"20,000"
,
Dededo Village,"44,943"
Willemstad,"125,000"
Tarawa,"40,311"
,
Kingstown,"24,518"
Oranjestad,"29,998"
Nuku'alofa,"22,400"
Saint Croix,"50,601"
Victoria,"22,881"
Saint John's,"24,226"
